frame,status,target_id,center_x,center_y,target_x,target_y
536,detected,3,906.673,519.328,894.037,615.204
537,detected,3,914.245,511.531,893.756,614.85
538,detected,3,914.135,504.092,885.36,607.896
539,detected,3,911.866,499.508,880.044,606.72
540,detected,3,908.681,496.689,875.896,606.243
541,detected,3,905.45,496.154,873.658,608.254
542,detected,3,901.647,497.66,868.933,612.561
543,detected,3,894.884,500.685,859.543,617.676
544,detected,3,882.828,505.734,844.305,625.602
545,detected,3,874.877,508.554,842.234,626.906
546,detected,3,870.045,511.154,841.78,628.091
547,detected,3,868.166,514.46,844.196,633.484
548,detected,3,867.563,516.493,845.495,633.808
549,detected,3,867.535,517.171,847.51,633.45
550,detected,3,868.419,517.319,849.559,632.205
551,detected,3,869.131,516.5,850.856,631.17
552,detected,3,870.331,514.324,853.573,626.904
553,detected,3,870.702,507.861,854.504,615.182
554,detected,3,870.611,502.298,854.167,611.523
555,detected,3,869.945,497.889,854.118,608.714
556,detected,3,869.745,493.889,854.544,604.889
557,detected,3,869.635,490.339,855.415,601.477
558,detected,3,869.42,487.036,855.765,599.393
559,detected,3,869.302,484.32,855.834,596.801
560,detected,3,868.657,481.701,855.834,594.801
561,detected,3,868.302,477.561,857.089,589.033
562,detected,3,868.013,470.875,858.779,579.978
563,detected,3,868.232,466.431,860.183,577.72
564,detected,3,868.475,463.189,860.491,576.492
565,detected,3,868.547,460.629,861.467,574.852
566,detected,3,867.626,458.546,860.582,573.569
567,detected,3,866.669,457.175,860.143,572.854
568,detected,3,863.218,455.971,855.767,571.748
569,detected,3,858.845,455.309,851.709,572.109
570,detected,3,855.54,455.17,850,572.165
571,detected,3,852.673,455.192,848.353,572.835
572,detected,3,850.203,455.33,847,572.954
573,detected,3,848.087,455.407,846,572.954
574,detected,3,843.323,452.974,845.264,567.394
575,detected,3,840.703,451.636,845.565,567.325
576,detected,3,839.036,450.45,845.553,566.151
577,detected,3,837.611,449.572,846.133,565.99
578,detected,3,836.436,448.19,846.164,564.232
579,detected,3,835.565,446.979,846.874,562.382
580,detected,3,834.636,445.639,846.192,560.495
581,detected,3,833.225,444.001,845.515,559.623
582,detected,3,832.028,442.626,845.304,557.983
583,detected,3,829.99,440.319,843.248,554.438
584,detected,3,819.151,431.422,832.309,535.531
585,detected,3,812.783,426.957,832.38,536.082
586,detected,3,808.606,424.951,831.674,537.13
587,lost,3,,,,
588,lost,3,,,,
589,lost,3,,,,
590,lost,3,,,,
591,lost,3,,,,
592,lost,3,,,,
593,lost,3,,,,
594,lost,3,,,,
595,lost,3,,,,
596,lost,3,,,,
597,lost,3,,,,
598,lost,3,,,,
599,lost,3,,,,
600,lost,3,,,,
601,lost,3,,,,
602,lost,3,,,,
603,lost,3,,,,
604,lost,3,,,,
605,lost,3,,,,
606,lost,3,,,,
607,lost,3,,,,
608,lost,3,,,,
609,detected,3,795.857,421.129,842.606,530.867
610,detected,3,789.019,419.055,843.374,531.154
611,detected,3,785.367,417.926,845.023,530.366
612,detected,3,783.311,417.358,845.86,529.649
613,detected,3,782.188,416.972,846.748,529.159
614,detected,3,781.429,416.985,847.101,528.836
615,detected,3,780.836,417.042,848.519,528.033
616,detected,3,780.46,417.248,849.239,528.413
617,detected,3,780.253,417.586,850.305,526.943
618,detected,3,780.139,417.997,851.186,526.511
619,detected,3,780.076,418.224,851.49,526.632
620,detected,3,780.042,418.348,852.776,526.35
621,detected,3,779.798,418.191,853.533,525.55
622,detected,3,779.889,418.33,854.446,525.004
623,detected,3,779.939,418.407,855.07,524.266
624,detected,3,779.741,418.449,855.783,524.119
625,detected,3,779.858,418.922,856.338,524.19
626,detected,3,779.697,418.732,856.887,522.89
627,detected,3,779.608,418.853,858.167,521.955
628,detected,3,779.335,418.919,858.002,521.91
629,detected,3,779.184,418.73,858.771,520.865
630,detected,3,779.101,418.481,859.511,519.842
631,detected,3,778.831,418.265,859.882,519.015
632,detected,3,778.907,418.146,861.511,517.842
633,detected,3,778.777,418.252,910.651,576.752
634,lost,3,,,,
635,lost,3,,,,
636,lost,3,,,,
637,lost,3,,,,
638,lost,3,,,,
639,lost,3,,,,
640,lost,3,,,,
641,lost,3,,,,
642,lost,3,,,,
643,lost,3,,,,
644,lost,3,,,,
645,lost,3,,,,
646,lost,3,,,,
647,lost,3,,,,
648,lost,3,,,,
649,lost,3,,,,
650,lost,3,,,,
651,lost,3,,,,
652,lost,3,,,,
653,lost,3,,,,
654,detected,3,780.999,419.039,881.578,502.548
655,detected,3,782.349,419.696,882.397,502.117
656,detected,3,783.092,420.283,883.418,501.167
657,detected,3,783.276,420.381,883.553,500.5
658,detected,3,783.202,420.609,884.285,499.035
659,detected,3,783.17,420.56,885.069,498.186
660,detected,3,783.153,420.533,885.118,498.14
661,detected,3,782.746,420.743,885.449,496.799
662,detected,3,782.411,420.915,885.604,495.903
663,detected,3,782.226,421.178,885.658,495.859
664,detected,3,781.978,421.548,886.441,493.812
665,detected,3,781.763,421.751,886.495,493.756
666,detected,3,781.723,421.863,887.46,491.964
667,detected,3,781.702,421.925,887.839,491.952
668,detected,3,781.69,421.959,888.683,490.904
669,detected,3,781.604,422.202,889.539,489.706
670,detected,3,781.557,422.336,889.714,489.043
